Meanings,J Translation,English Definition,pronunciation,POS
fire,火；火事,heat and the flame produced when burning,ˈfaɪər,名詞(n.)
firstly,まず第一に,Before anything else,ˈfɜrstli,副詞(adv)
fish,魚,animal that swims and lives in the sea,fɪʃ,名詞(n.)
fit,適している,Proper or acceptable; morally or socially correct,fɪt,形容詞(adj.)
five,5,5,faɪv,数詞(num.)
fix,直す,To make something whole or able to work again,fɪks,動詞(verb)
flat,平らな,level; even; without curves or bumps,flæt,形容詞(adj.)
floor,床,part of a room on which you stand,flɔr,名詞(n.)
flower,花,"plant with a pretty head, e.g. a rose",ˈflaʊər,名詞(n.)
fly,羽ばたいて飛ぶ,To travel through the air using wings,flaɪ,動詞(verb)
follow,後について行く；従う,to come after someone; be guided by someone,ˈfɑloʊ,動詞(verb)
food,食物,What people and animals eat to live,fud,名詞(n.)
foot,足,lowest part of the leg we use to stand on,fʊt,名詞(n.)
football,サッカー,sport where 2 teams try to kick a ball in a goal; soccer,ˈfʊtˌbɔl,名詞(n.)
force,強制する,To use physical strength or violence to persuade,fɔrs,動詞(verb)
forest,森林,large area with many trees,ˈfɔrəst,名詞(n.)
forget,忘れる,To not remember something,fərˈgɛt,動詞(verb)
form,形,visible shape or style; type; kind,fɔrm,名詞(n.)
fortunate,幸運な,Having good luck,ˈfɔrʧənət,形容詞(adj.)
forty,40,40,ˈfɔrti,数詞(num.)
forward,前方の,Toward what is ahead or in front,ˈfɔrwərd,副詞(adv)
found,発見する,To discover something by looking for it,faʊnd,動詞(verb)
four,4,4,fɔr,数詞(num.)
fourteen,14,14,ˈfɔrˈtin,数詞(num.)
free,無料の,Costing no money,fri,形容詞(adj.)
freedom,自由,"state of being free, not being controlled",ˈfridəm,名詞(n.)
freeze,凍る,To harden to a solid below zero degrees,friz,動詞(verb)
fresh,新しい,Newly made or gathered,frɛʃ,形容詞(adj.)
friday,金曜日,firth day of the week; the day after Thursday,ˈfraɪdi,名詞(n.)
friendly,友好的な,Acting like a friend; kind and helpful,ˈfrɛndli,副詞(adv)
friendship,友情,feeling of liking someone; good relationship,ˈfrɛndʃɪp,名詞(n.)
frighten,怖がらせる,To make someone afraid or nervous,ˈfraɪtən,動詞(verb)
from,～から；～出身の,"Starting at a particular place, time or level",frʌm,前置詞(prep.)
front,前面,Opposite of back; the forward part of an object,frʌnt,形容詞(adj.)
full,いっぱいの；満ちた,Containing or holding as much as possible,fʊl,形容詞(adj.)
fully,完全に；十分に,Completely or entirely,ˈfʊli,副詞(adv)
funny,おかしい；妙な,Causing laughter; amusing,ˈfʌni,形容詞(adj.)
further,さらに先へ；さらにまた,extra; in addition,ˈfɜrðər,形容詞(adj.)
game,ゲーム,Activity with rules that people play to have fun,geɪm,名詞(n.)
garden,庭,yard; ground outside your house to grow plants,ˈgɑrdən,名詞(n.)
gas,ガス；気体,"the elements in our air, like oxygen or nitrogen",gæs,名詞(n.)
general,一般的な；全般的な,"Widespread, normal or usual",ˈʤɛnərəl,形容詞(adj.)
generally,一般に,"Usually; as a rule; by, to or for most people",ˈʤɛnərəli,副詞(adv)
gentle,優しい；穏やかな,kind and quiet in nature; not harsh or violent,ˈʤɛntəl,形容詞(adj.)
gently,優しく；穏やかに,"In a mild, careful, and soft manner",ˈʤɛntli,副詞(adv)
get,得る；受ける,"To obtain, receive or be given something",gɛt,動詞(verb)
girl,女の子,A female child; a young woman,gɜrl,名詞(n.)
give,手渡す,To hand over or present something to someone,gɪv,動詞(verb)
glad,うれしい,happy that something happened; pleased,glæd,形容詞(adj.)
glance,ちらりと見ること,quick or temporary look,glæns,名詞(n.)
glass,ガラス,hard transparent material used for making windows,glæs,名詞(n.)
go,行く,To move or travel to another place,goʊ,動詞(verb)
god,神,religion supernatural being with special powers,gɑd,名詞(n.)
gold,金,soft yellow metal that is very valuable,goʊld,名詞(n.)
golden,黄金の,Made of gold,ˈgoʊldən,形容詞(adj.)
good,良い,excellent; high quality,gʊd,形容詞(adj.)
govern,統治する；影響を与える,"To officially control and lead, conduct the policy, make decisions",ˈgʌvərn,動詞(verb)
government,政府,group of people and system which rule a nation,ˈgʌvərmənt,名詞(n.)
governor,知事,person who leads a state or province,ˈgʌvərnər,名詞(n.)
grass,草,"Plants with narrow green leaves, grown on lawns",græs,名詞(n.)
greatly,非常に,an extraordinary extent or degree,ˈgreɪtli,副詞(adv)
green,緑色,the color of young leaves,grin,名詞(n.)
ground,地面；土,solid surface of the earth that we stand on,graʊnd,動詞(verb)
group,グループ；集団,number of people or things gathered together,grup,名詞(n.)
grow,成長する,To develop and become bigger or taller over time,groʊ,動詞(verb)
growth,成長；増殖；腫瘍,act of growing,groʊθ,名詞(n.)
guess,推測する,to give an answer without knowing if it is correct,gɛs,動詞(verb)
gun,銃,weapon in which bullets are fired down a metal tube,gʌn,名詞(n.)
guy,男；やつ,informal man; boy; any person,gaɪ,名詞(n.)
hair,髪；毛,long thin strands on your head or body,hɛr,名詞(n.)
hall,ホール；会場,area inside the entrance of a house,hɔl,名詞(n.)
hand,手,body part at the end of a person's arm,hænd,名詞(n.)
handle,扱う,To have the ability to cope with or take responsibility for,ˈhændəl,動詞(verb)
hang,かける；吊るす,"To attach a picture, photograph etc onto a wall",hæŋ,動詞(verb)
happen,起こる；たまたま～する,To take place or occur,ˈhæpən,動詞(verb)
happiness,幸福；喜び；適切さ,state of feeling pleased; feeling of satisfaction,ˈhæpinəs,名詞(n.)
happy,幸せ；嬉しい,Feeling pleasure or joy; glad,ˈhæpi,形容詞(adj.)
hard,かたい,"difficult to bend, break or cut; solid",hɑrd,形容詞(adj.)
hardly,ほとんど～ない,Clearly or undoubtedly not; very little,ˈhɑrdli,副詞(adv)
hat,帽子,item of clothing worn on your head,hæt,名詞(n.)
hate,憎む；ひどく嫌う,to have a very strong feeling of dislike for,heɪt,動詞(verb)
have,持っている,"To own, possess, or hold something",hæv,助動詞(aux.)
head,頭,top part of your body with eyes and a mouth,hɛd,名詞(n.)
health,健康,"(person, company) being in a good condition; being well",hɛlθ,名詞(n.)
healthy,健康な,in good condition physically (or financially); not ill or bad,ˈhɛlθi,形容詞(adj.)
hear,聞く；聞こえる,To be aware of sound; to perceive with the ear,hir,動詞(verb)
heart,心臓,the part of the body that pumps blood,hɑrt,名詞(n.)
heat,熱，熱くする；興奮する,To make hot or hotter,hit,動詞(verb)
heavily,重く,a lot or to a great degree,ˈhɛvəli,副詞(adv)
heavy,重い,Having a lot of weight,ˈhɛvi,形容詞(adj.)
hell,地獄,Any place of pain and suffering,hɛl,名詞(n.)
hello,こんにちは,What you say when you meet someone,həˈloʊ,感動詞(itj.)
help,助ける,To act to enable a person to do something; assist,hɛlp,動詞(verb)
helpful,役立つ,Doing things that help someone,ˈhɛlpfəl,形容詞(adj.)
her,彼女の；彼女を,(Subject form of a female you are talking about),hɜr,代名詞(pron.)
here,ここに,"In this place; at this location, position or time",hir,副詞(adv)
herself,彼女自身,female person that did the original action,hərˈsɛlf,代名詞(pron.)
hi,やあ；こんにちは,What you say when you meet someone,haɪ,感動詞(itj.)
hide,隠す,to put a thing where it can't be found; go where you won't be found,haɪd,動詞(verb)
high,高い,Rising upward a great distance,haɪ,形容詞(adj.)
highly,非常に,more than usual; to a great degree,ˈhaɪli,副詞(adv)
hill,丘,High land not as high as a mountain,hɪl,名詞(n.)
him,彼を,Subject form of a male person you are talking about,hɪm,代名詞(pron.)
himself,彼自身,the same (male) person who did the action,hɪmˈsɛlf,代名詞(pron.)
his,彼の；彼のもの,Something belonging to a male person,hɪz,代名詞(pron.)
historian,歴史家,Someone who studies or writes about the course of history,hɪˈstɔriən,名詞(n.)
historic,歴史的な,Belonging to the past; of what is important or famous in the past,hɪˈstɔrɪk,形容詞(adj.)
historical,歴史的な,Connected with the past,hɪˈstɔrɪkəl,形容詞(adj.)
history,歴史,study of past event,ˈhɪstəri,名詞(n.)
hit,打つ；たたく,"To fight, attack or damage something or someone",hɪt,動詞(verb)
hold,持つ；抱く,To use hands or arms to carry or keep something,hoʊld,動詞(verb)
holder,所有者,person who owns or has received something,ˈhoʊldər,名詞(n.)
hole,穴,opening into or through something,hoʊl,名詞(n.)
holiday,休日；祝日,day when people don't go to work or school,ˈhɑləˌdeɪ,名詞(n.)
home,家庭；自宅,place where a person or a family lives,hoʊm,名詞(n.)
honest,正直,"Good, truthful, sincere, or faithful; trustworthy",ˈɑnəst,形容詞(adj.)
hope,希望,when you wish something would happen; what you wish,hoʊp,名詞(n.)
hopefully,願わくは；うまくいけば,in a manner wishing something to happen,ˈhoʊpfəli,副詞(adv)
horrible,恐ろしい,Very unpleasant,ˈhɔrəbəl,形容詞(adj.)
horse,馬,large animal with 4 legs used for riding,hɔrs,名詞(n.)
hospital,病院,"building for sick people, with doctors and nurses",ˈhɑˌspɪtəl,名詞(n.)
hot,熱い；暑い,Having a high temperature,hɑt,形容詞(adj.)
hour,時間,60 minutes,ˈaʊər,名詞(n.)
house,家,"building in which a family, person lives",haʊs,名詞(n.)
how,どのように,(used to explain the way to do something),haʊ,副詞(adv)
however,しかしながら；どんなに～でも；一体どうやって,(used to introduce a counter statement to what has been said),ˌhaʊˈɛvər,接続詞(conj.)
huge,巨大な,Very very large,hjuʤ,形容詞(adj.)
human,人間,"a person; a man, woman or child",ˈhjumən,名詞(n.)
hundred,100,100,ˈhʌndrəd,数詞(num.)
hunger,飢え,need for food; a severe lack of food,ˈhʌŋgər,名詞(n.)
hunt,狩る，狩り,To search for wild animals to kill (for food),hʌnt,動詞(verb)
hurry,急ぐ，急ぐこと,To move/act quickly to get somewhere/do something,ˈhɜri,動詞(verb)
hurt,痛む；傷つける,"To cause pain, damage or injury",hɜrt,動詞(verb)
husband,夫,married man,ˈhʌzbənd,名詞(n.)
ice,氷,"frozen gas or liquid, esp. water",aɪs,名詞(n.)
idea,考え；アイデア,"belief, thought, suggestion, opinion or plan",aɪˈdiə,名詞(n.)
if,もし～なら；～かどうか,Introducing a condition for something to happen,ɪf,接続詞(conj.)
imagination,想像力 ,ability to think of new ideas; creation of mental images,ɪˌmæʤəˈneɪʃən,名詞(n.)
imagine,想像する,to think creatively about; form mental picture of,ɪˈmæʤən,動詞(verb)
important,重要な,"having a big effect on (person, the future)",ɪmˈpɔrtənt,形容詞(adj.)
impossible,不可能な,very unlikely to happen or exist,ɪmˈpɑsəbəl,形容詞(adj.)
indeed,確かに,actually; in fact; in reality,ɪnˈdid,副詞(adv)
inform,知らせる,To give information or facts about something,ɪnˈfɔrm,動詞(verb)
information,情報,collection of facts and details about something,ˌɪnfərˈmeɪʃən,名詞(n.)
inner,内側の,Concerning the inside part of something,ˈɪnər,形容詞(adj.)
inside,内部；内側；内情，内側の，内側に,being in something,ɪnˈsaɪd,形容詞(adj.)
instead,その代わりに,When one thing is replaced by another,ɪnˈstɛd,副詞(adv)
insurance,保険,Payments to cover potential loss/damage/injury/death,ɪnˈʃʊrəns,名詞(n.)
insure,保険をかける；確実にする,to buy protection against possible loss/damage/injury,ɪnˈʃʊr,動詞(verb)
interest,興味を持たせる,to make someone want to know about something,ˈɪntrəst,動詞(verb)
into,～の中へ,Going inside something,ˈɪntu,前置詞(prep.)
involve,含む；関わる；巻き込む,To have or be included as a part of something,ɪnˈvɑlv,動詞(verb)
involvement,関与,act or process of joining in a particular activity,ɪnˈvɑlvmənt,名詞(n.)
island,島,area of land that is surrounded by water,ˈaɪlənd,名詞(n.)
issue,問題；論争点,"important topic discussed, debated or argued over",ˈɪʃu,名詞(n.)
it,(先行するものを指して)それ,A thing that has been previously mentioned,ɪt,代名詞(pron.)
its,それの,of something; belonging or related to something,ɪts,形容詞(adj.)
itself,それ自体,Referring to it,ɪtˈsɛlf,代名詞(pron.)
job,仕事,regular work of earning money,ʤɑb,名詞(n.)
join,加わる；つなぎ合わせる,"To bring something close to another, to become one",ʤɔɪn,動詞(verb)
joke,冗談，冗談を言う,To say or do things that are meant to be funny,ʤoʊk,動詞(verb)
judge,審理する；審査する；判断する,To form an opinion after careful consideration,ʤʌʤ,動詞(verb)
judgment,判断；判決,opinion that is made after careful consideration,ˈʤʌʤmənt,名詞(n.)
jump,跳ぶ；跳ね上がる,To push your body into the air with your legs,ʤʌmp,動詞(verb)
just,正確に,"just when, just as exactly at the time of",ʤʌst,副詞(adv)
keep,保つ,To have and continue to hold something,kip,動詞(verb)
key,かぎ，重要な,Something you use to open a lock or start a car,ki,名詞(n.)
kick,蹴る,hit using the foot,kɪk,名詞(n.)
